InvoiceLineID,country,cancelled,name,orgID,currency,salesman,validInvoice,InvoiceID,LineNum,Edition,ValidFrom,ValidTo,Amount,Tax,IsTransferrable,Renewed,Computers,numberTransferable,numberStandard,ComputersToRenew
20921,United Kingdom,1,Incite - UK,2e373647-b45e-4238-8473-9d28e4fa5ef1,GBP,4,0,8e732029-2f07-45a6-8edd-90b4737e2545,0,P,1442880000000,1459382400000,731.37,0,0,0,2,0,0,
20922,Australia,0,OmnicomMediaGroup,b8f57a47-cd48-4212-a72c-7a114535b4a6,AUD,,1,f5498573-7bd6-4937-9db8-051b7e5b280c,0,P,1445040000000,1476662400000,4497,408.81999999999999,0,0,6,0,6,
20923,Australia,0,OmnicomMediaGroup,b8f57a47-cd48-4212-a72c-7a114535b4a6,AUD,,1,f5498573-7bd6-4937-9db8-051b7e5b280c,1,P,1445040000000,1476662400000,4497,408.81999999999999,0,0,1,0,1,
20924,United States,0,J.J. Keller,b489b779-ff37-4454-b791-b8fcf9f90502,USD,,1,f99dfe90-0189-4f39-8a93-0674a83bb2f3,0,P,1442966400000,1474588800000,1499,0,0,0,1,0,1,
20925,Australia,0,SurveyHelp Pty Ltd,6dba92c1-fdc7-4d07-8756-7a9ef2fc9097,AUD,,1,8de46232-db4d-45c1-b4e2-b74b551d52c1,0,P,1448409600000,1480032000000,1575,143.18000000000001,0,0,1,0,1,
20926,Australia,0,The Good Guys,bb709fba-38c8-4a3e-80a7-453a3db9d373,AUD,,1,ff5a56e5-4c98-4293-9b21-692ce5d50f6b,0,P,1448409600000,1480032000000,3150,286.36000000000001,0,0,2,0,2,
20927,Myanmar,0,Myanmar Survey Research,79d28529-56e7-46a2-af94-e8d056f0b10f,USD,3,1,8bf7dff0-c3ec-41ad-a0aa-b9d6a0cc5a55,0,P,1443052800000,1474675200000,2998,0,0,0,2,0,2,
20928,Australia,0,Aquion Pty Ltd (on behalf of St George),2568527d-6dbb-421b-a527-d29d551f2a13,AUD,627,1,085d4c06-623a-4c3c-a680-23024fdfb800,0,P,1443052800000,1474675200000,1575,143.18000000000001,0,0,1,0,1,
20929,Australia,0,TKP (The Klein Partnership),c25c7958-e33d-4969-88e0-3dfb24260f1c,AUD,,1,50cd1903-68bf-456c-96d9-7a752fc255c4,0,P,1443052800000,1473292800000,1358.3199999999999,123.48,0,0,1,0,1,
20930,United States,0,Attitude Measurement Corporation,1a646c00-8b10-4439-b4b0-48e0e03cd548,USD,4,1,94e861dd-6126-462e-b115-581d104f9fbc,0,P,1448323200000,1479945600000,4497,0,1,0,1,1,0,
20931,Indonesia,0,PT. Cimigo,fe7efe35-5322-41e8-961a-df841d822e37,USD,704,1,12c9cde3-75c9-4b3a-8c8d-e8d3800e3da9,0,P,1448496000000,1480118400000,2998,0,0,0,2,0,2,
20932,Australia,1,TEG Rewards 0,4ebac5a4-bb81-4f8e-a07e-79361a2055cf,AUD,704,0,86b6bbce-236a-4be6-9e11-97a0782f3d0d,0,P,1448496000000,1480118400000,1575,143.18000000000001,0,0,1,0,0,
20933,Netherlands,0,Information Resources BV,06346192-a9df-4502-b721-4a67d8e45d20,EUR,4,1,7b5dca17-6b97-4626-a017-f6688cb693b3,0,P,1448496000000,1480118400000,2198,0,0,0,2,0,2,
20934,United States,0,RSG Inc,cebc528d-19a5-4758-9dbc-fb2f8ec2bb7b,USD,,1,5b68acb7-652a-4ea8-89ed-d421840b1a02,0,P,1443139200000,1458086400000,568,0,0,1,1,0,1,
20935,Canada,0,Element 54,610f6bb3-77a0-4192-98df-b11e35075e3a,USD,,1,078fe6c4-8f80-4dc5-b66d-cc4a086884e3,0,P,1443657600000,1475280000000,2998,0,0,0,2,0,2,
20936,Australia,0,Nunwood Asia Pacific,6dd72c29-5fc2-4d94-b0be-5bb6dabfc109,AUD,,1,1e611a3b-faa5-48b3-a7e3-7e18439d1e26,0,P,1445472000000,1477094400000,2998,272.55000000000001,0,0,2,0,2,
20937,Australia,0,Yahoo!7,769055eb-3910-4fbc-9b75-d8fbf92c4f6e,AUD,,1,aa842454-83b7-4660-8a34-5b9fa930c9f7,0,P,1443139200000,1452470400000,465.70999999999998,42.340000000000003,0,1,1,0,1,
20938,United States,0,Phoenix Marketing International,96b9953f-d76f-4ae8-b642-d9b13678768c,USD,4,1,aebf78ab-6733-418f-a328-837beb6b8722,0,P,1443139200000,1471651200000,1218.9000000000001,0,0,0,1,0,1,
